keys,en,zh_Hans
hud.menu,Menu (Esc),菜单 (Esc)
hud.daily_tag, · Daily %s, · 每日 %s
hud.endless_tag, · Endless %s · pressure %s%%, · 无尽 %s · 改写压 %s%%
hud.endless_depth,Depth %s,深度 %s
hud.hard_tag, · Hard+, · 高难+
hud.daily_tag_code, · Daily %s · %s, · 每日 %s · %s
habit.up,up,上
habit.down,down,下
habit.left,left,左
habit.right,right,右
won.title,Chamber Cleared,间室通过
won.next_chamber,→ Next Chamber,→ 下一间室
won.finish_wing,→ Finish Wing,→ 完成本翼
won.finish_demo,→ Finish Demo,→ 完成试玩
won.next_daily,→ Next Daily,→ 下一每日
won.daily_complete,→ Daily Complete,→ 每日完成
won.next_endless,→ Keep Climbing,→ 继续攀升
won.replay,Replay this chamber,重玩本间室
won.menu,Field Index,田野索引
won.stats,"%s
Moves: %s  (best %s)
Best stamp: %s★
Par path: %s%s

Hand: %s","%s
步数：%s  （最佳 %s）
最佳印记：%s★
标准路径：%s%s

笔迹：%s"
won.daily_line,"
Daily %s","
每日 %s"
won.endless_line,"
Endless %s  ·  depth %s  ·  rewrite pressure %s%%","
无尽 %s  ·  深度 %s  ·  改写压 %s%%"
won.daily_line_code,"
Daily %s · %s","
每日 %s · %s"
end.title,LEDGER CLOSED,账本合上
end.tagline,The lattice remembers you.,晶格记得你。
end.new_run,New survey,新调查
end.menu,Field Index,田野索引
end.footer,Field Ledger · Echo Lattice · ink on paper,现场账本 · 回声晶格 · 纸上墨迹
end.header_wing,Wing filed.,本翼已归档。
end.header_demo,Act I complete — Mirror Birth remembered.,第一幕完成 — 已铭记镜像诞生。
end.header_daily,Daily %s complete.,每日 %s 完成。
end.header_endless,Endless %s — depth %s.,无尽 %s — 深度 %s。
end.header_daily_code,Daily %s · %s complete.,每日 %s · %s 完成。
project.description,A labyrinth that rebuilds from your last thirty moves. Escape by rewriting your own habits.,一座根据你最近三十步重建的迷宫。改写自己的习惯以逃脱。
locale.language,Language,语言
locale.en,English,English
locale.zh_Hans,简体中文,简体中文
locale.system,System,跟随系统
settings.title,Settings — Accessibility,设置 — 无障碍
settings.a11y_header,Accessibility,无障碍
settings.colorblind,Colorblind mode,色盲模式
settings.patterns,Pattern cues (not color-only),图案提示（非仅靠颜色）
settings.reduce_flash,Reduce flash (soften rewrite strobes),减弱闪光（柔化改写闪烁）
settings.screen_shake,Screen shake,屏幕震动
settings.shake_intensity,Shake intensity,震动强度
settings.subtitles,Subtitles (PA / rewrite lines),字幕（广播 / 改写提示）
settings.subtitle_size,Subtitle size,字幕大小
settings.subtitle_background,Subtitle background,字幕背景
settings.ui_scale,UI scale,界面缩放
settings.ghost_assist,Assist: show ghost path once per chamber,辅助：每间室显示一次幽灵路径
settings.reduce_motion,Reduce motion,减少动态
settings.hold_to_walk,Hold to walk,按住行走
settings.input_header,Input (click to rebind keyboard; gamepad preserved),输入（点击重绑键盘；手柄保留）
settings.reset_a11y,Reset accessibility,重置无障碍
settings.reset_input,Reset input,重置输入
settings.close,Close,关闭
settings.size_small,Small,小
settings.size_medium,Medium,中
settings.size_large,Large,大
settings.status_press_key,Press key… (Esc cancel),按下按键…（Esc 取消）
settings.status_rebinding,Rebinding %s,正在重绑 %s
settings.status_bindings_saved,Bindings saved.,绑定已保存。
settings.status_colorblind,Colorblind mode: %s,色盲模式：%s
settings.status_a11y_reset,Accessibility reset to defaults.,无障碍已恢复默认。
settings.status_input_reset,Input bindings reset.,输入绑定已重置。
colorblind.default,Default (Field Ledger),默认（现场账本）
colorblind.protanopia,Protanopia (red-weak),红色弱视（红色弱）
colorblind.deuteranopia,Deuteranopia (green-weak),绿色弱视（绿色弱）
colorblind.tritanopia,Tritanopia (blue-weak),蓝色弱视（蓝色弱）
colorblind.high_contrast,High contrast,高对比度
colorblind.mono_pattern,Mono + patterns,单色 + 图案
input.move_up,Move Up,向上移动
input.move_down,Move Down,向下移动
input.move_left,Move Left,向左移动
input.move_right,Move Right,向右移动
input.undo,Undo,撤销
input.restart,Restart,重开
input.pause_menu,Pause / Menu,暂停 / 菜单
input.confirm,Confirm,确认
input.ghost_assist,Show Ghost Path (assist),显示幽灵路径（辅助）
subtitle.rewrite_begin,The lattice rewrites from your path.,晶格根据你的路径改写。
subtitle.rewrite_mirror,Your trail folds into walls.,你的足迹折成墙壁。
subtitle.rewrite_rotate,The corridor turns with your habits.,走廊随你的习惯转动。
subtitle.rewrite_thicken,Habits solidify where you stepped.,习惯在你踏过处硬化。
subtitle.checkpoint,Checkpoint — buffer sealed.,检查点 — 缓冲已封存。
subtitle.habit_warn_loop,Looping path — the lattice will thicken here.,环绕路径 — 晶格将在此增厚。
subtitle.habit_warn_dash,Straight-line habit detected.,检测到直线习惯。
subtitle.ghost_assist,Ghost path revealed once.,幽灵路径已显示一次。
subtitle.undo,Step withdrawn.,已撤回一步。
subtitle.win,Chamber clear.,间室清除。
subtitle.pa.ghost.floor,Floor chalk noted.,已记录地面粉笔。
subtitle.pa.checkpoint.armed,Checkpoint — buffer armed.,检查点 — 缓冲已就绪。
subtitle.pa.rewrite.fired,Rewrite committed.,改写已提交。
subtitle.pa.rewrite.matched,It matches you.,它与你吻合。
subtitle.pa.rewrite.second_birth,Both axes remember you.,双轴记住了你。
subtitle.habit.op.deflector,Corridor sealed.,走廊已封死。
subtitle.habit.op.fossilize,Loop calcified.,回环已钙化。
subtitle.habit.op.thicken,Walk thickened underfoot.,足迹在脚下增厚。
subtitle.habit.op.grow,Far margin darkens.,远缘变暗。
subtitle.habit.op.carve,A hairline door opens.,一线门缝打开。
subtitle.habit.op.widen,The corridor breathes.,走廊松了一口气。
subtitle.habit.answer.hand,Answered your %s.,回应了你的%s。
ceremony.mirror_birth.plate,IT MATCHES YOU,与你吻合
ceremony.looking_glass.plate,BOTH AXES REMEMBER,双轴铭记
ceremony.mirror_birth.label,Orange walls = your mirror.,橙墙即你的镜像。
ceremony.looking_glass.label,Both folds keep your ink.,两折都留住你的墨。
subtitle.pa.undo.hint,Undo clears a step.,撤销可清除一步。
subtitle.pa.boot.lattice_online,Lattice online.,晶格在线。
subtitle.pa.wing.clear,Wing clear.,本翼清除。
subtitle.tutorial_buffer,Your last moves leave fossils behind you.,你最近的步伐会留下化石。
hud.undo_hint,%s · UNDO,%s · 撤销
menu.subtitle_demo,Demo — Act I · Mirror Birth. Ink on paper.,试玩 — 第一幕 · 镜生。纸上墨迹。
menu.controls_hint_remap,Move  %s…     Restart  %s     Undo  %s     Menu  %s,移动  %s…     重开  %s     撤销  %s     菜单  %s
hud.restart_fmt,Restart (%s),重开 (%s)
hud.menu_fmt,Menu (%s),菜单 (%s)
glyphs.move_pad,D-Pad / Stick,方向键 / 摇杆
glyphs.move_wasd,WASD / Arrows,WASD / 方向键
glyphs.controls_gamepad,Move  D-Pad/Stick     Undo  X     Restart  Y     Menu  Start / B     Confirm  A     Assist  B,移动  方向键/摇杆     撤销  X     重开  Y     菜单  Start / B     确认  A     辅助  B
glyphs.controls_keyboard,Move  %s     Undo  %s     Restart  %s     Menu  %s     Confirm  %s     Assist  %s,移动  %s     撤销  %s     重开  %s     菜单  %s     确认  %s     辅助  %s
end.demo_title,DEMO COMPLETE,试玩完成
end.demo_tagline,You met Mirror Birth. The full lattice waits.,你遇见了镜生。完整晶格在等待。
end.demo_footer,Echo Lattice Demo · Act I · Wishlist the full game,回声晶格试玩 · 第一幕 · 将完整版加入愿望单
end.demo_footer_no_wishlist,Echo Lattice Demo · Act I,回声晶格试玩 · 第一幕
end.demo_replay,Replay Act I,重玩第一幕
act.induction,Induction,诱导
act.reflection,Reflection,反射
act.pressure,Pressure,压力
act.mastery,Mastery,精通
chamber.00_quiet_span.title,Quiet Span,静距
chamber.00_quiet_span.caption,Walk the span.,走过这段跨距。
chamber.01_echo_plate.title,Echo Plate,回声板
chamber.01_echo_plate.caption,Step the plate. Still asleep.,踏上平板。仍在沉睡。
chamber.02_mirror_birth.title,Mirror Birth,镜生
chamber.02_mirror_birth.caption,Cross the checkpoint. Your path becomes wall.,跨过检查点。你的路径变成墙。
chamber.03_break_the_loop.title,Break the Loop,破环
chamber.03_break_the_loop.caption,A loop prints a dense mirror. Walk cleaner.,回路会印出密镜。走得干净些。
chamber.04_ceiling_first.title,Ceiling First,天花板优先
chamber.04_ceiling_first.caption,The mirror is horizontal — dashes imprint the roof.,镜子是水平的——破折号印在屋顶。
chamber.05_two_glances.title,Two Glances,两瞥
chamber.05_two_glances.caption,"Two checkpoints, two rewrites. Vary your route.",两个检查点，两次改写。变换路线。
chamber.06_far_side.title,Far Side,远端
chamber.06_far_side.caption,Rotation. Your path prints on the opposite corner.,旋转。你的路径印在对角。
chamber.07_first_thicken.title,First Thicken,初凝
chamber.07_first_thicken.caption,Habits solidify where you stepped. Do not re-tread.,习惯在你踏过处硬化。勿重蹈。
chamber.08_identity_induction.title,Who Walked,谁走过
chamber.08_identity_induction.caption,Boss. Leave a signature the lattice can read.,首领。留下晶格能读的签名。
chamber.09_twin_rail.title,Twin Rail,双轨
chamber.09_twin_rail.caption,A narrow spine. Your left becomes your right.,窄脊。你的左变成你的右。
chamber.10_roof_writing.title,Roof Writing,屋顶书写
chamber.10_roof_writing.caption,Write on the floor; the ceiling answers.,写在地板；天花板回答。
chamber.11_opposite_room.title,Opposite Room,对置室
chamber.11_opposite_room.caption,Turn the chamber inside-out with one rotation.,一次旋转，把间室内外翻转。
chamber.12_looking_glass.title,Looking Glass,窥镜
chamber.12_looking_glass.caption,Vertical and horizontal mirrors fire together.,垂直与水平镜同时触发。
chamber.13_gallery_walk.title,Gallery Walk,长廊漫步
chamber.13_gallery_walk.caption,A long hall of pillars. Reflect carefully.,柱廊长厅。小心反射。
chamber.14_horizon_fold.title,Horizon Fold,地平折叠
chamber.14_horizon_fold.caption,Two horizontal folds. The middle remembers both.,两次水平折叠。中间记住两者。
chamber.15_spin_gallery.title,Spin Gallery,旋廊
chamber.15_spin_gallery.caption,Rotate twice — leave a staggered signature.,旋转两次——留下交错签名。
chamber.16_false_twin.title,False Twin,假双生子
chamber.16_false_twin.caption,Symmetry lies. Choose which half becomes wall.,对称会说谎。选择哪一半成墙。
chamber.17_identity_reflection.title,Portrait,肖像
chamber.17_identity_reflection.caption,Boss. Both axes. Your path becomes a face.,首领。双轴。你的路径成一张脸。
chamber.18_cement_trail.title,Cement Trail,水泥足迹
chamber.18_cement_trail.caption,"Thicken under pressure. One path, no return.",压力下增厚。一条路，不回头。
chamber.19_no_retread.title,No Retread,不重踏
chamber.19_no_retread.caption,"A braid of corridors. Solidify once, commit.",走廊辫结。凝固一次，就承诺。
chamber.20_squeeze_mirror.title,Squeeze Mirror,挤压镜
chamber.20_squeeze_mirror.caption,Tight lanes. A messy path seals everything.,窄巷。凌乱路径会封死一切。
chamber.21_stacked_echo.title,Stacked Echo,叠回声
chamber.21_stacked_echo.caption,Three checkpoints. Each rewrite tightens the net.,三个检查点。每次改写收紧网。
chamber.22_spin_trap.title,Spin Trap,旋阱
chamber.22_spin_trap.caption,Rotation under load. Opposite corner seals exits.,负载下旋转。对角封住出口。
chamber.23_ceiling_press.title,Ceiling Press,顶压
chamber.23_ceiling_press.caption,Horizontal mirror in a low room. Keep the floor.,低室中的水平镜。守住地板。
chamber.24_compound_fracture.title,Compound Fracture,复合裂
chamber.24_compound_fracture.caption,"Both mirrors, twice. Cracks propagate.",双镜，两次。裂纹蔓延。
chamber.25_panic_lattice.title,Panic Lattice,慌乱晶格
chamber.25_panic_lattice.caption,Thicken in a maze of choices. Hesitation fills cells.,选择迷宫中增厚。犹豫填满格。
chamber.26_identity_pressure.title,Calcify,钙化
chamber.26_identity_pressure.caption,Boss. Your habits become the only walls left.,首领。习惯成为仅剩的墙。
chamber.27_conductors_cut.title,Conductor's Cut,指挥裁切
chamber.27_conductors_cut.caption,Master vertical mirror — carve with intent.,精通垂直镜——有意地雕刻。
chamber.28_invert_ballet.title,Invert Ballet,倒置芭蕾
chamber.28_invert_ballet.caption,Rotation as choreography. Land on the far mark.,旋转即编舞。落在远端标记。
chamber.29_two_axes.title,Two Axes,双轴
chamber.29_two_axes.caption,"Compose both mirrors with a short, sharp stroke.",短而锋利的一笔，组合双镜。
chamber.30_habit_orchestra.title,Habit Orchestra,习惯管弦
chamber.30_habit_orchestra.caption,Three vertical mirrors. Conduct three phrases.,三面垂直镜。指挥三段乐句。
chamber.31_last_buffer.title,Last Buffer,末段缓冲
chamber.31_last_buffer.caption,Thicken mastery — the buffer is almost full.,增厚精通——缓冲几乎满了。
chamber.32_signature_stack.title,Signature Stack,签名叠层
chamber.32_signature_stack.caption,"Both axes, twice. Stack two portraits.",双轴，两次。叠两幅肖像。
chamber.33_nameplate.title,Nameplate,铭牌
chamber.33_nameplate.caption,Boss. Final identity — sign the lattice.,首领。最终身份——签署晶格。
chamber.34_open_lattice.title,Open Lattice,开放晶格
chamber.34_open_lattice.caption,Epilogue. Same seed a friend can share.,尾声。朋友可分享的同一种子。
chamber.35_mirror_birth_hard.title,Mirror Birth+,镜生+
chamber.35_mirror_birth_hard.caption,"Hard. Less floor. Same lesson, less forgiveness.",困难。更少地板。同样课题，更少宽恕。
chamber.36_looking_glass_hard.title,Looking Glass+,窥镜+
chamber.36_looking_glass_hard.caption,Hard. Dual-axis with thinner corridors.,困难。双轴，更窄走廊。
chamber.37_cement_trail_hard.title,Cement Trail+,水泥足迹+
chamber.37_cement_trail_hard.caption,Hard. Thicken with fewer detours.,困难。更少绕路的增厚。
chamber.38_nameplate_hard.title,Nameplate+,铭牌+
chamber.38_nameplate_hard.caption,Hard. Final identity with less breathing room.,困难。最终身份，更少喘息空间。
menu.daily_endless_meta_code,Daily %s  ·  %s  ·  best %s★ / 15  ·  Endless best depth %s,每日 %s  ·  %s  ·  最佳 %s★ / 15  ·  无尽最佳深度 %s
end.summary,"%s
Filed %s of %s chambers.
Stars stamped: %s
Best route ink: %s moves
Handwriting: %s","%s
已归档 %s / %s 间室。
星印：%s
最佳路线墨迹：%s 步
笔迹：%s"
menu.demo_daily_meta,Next Fest demo  ·  Daily %s  ·  best %s★,Next Fest 试玩  ·  每日 %s  ·  最佳 %s★
hud.habit_sealed,sealed until Mirror Birth,镜像诞生前封存
hud.habit_identity,%s-leaning · %s,%s倾向 · %s
hud.habit_identity_pct,%s-leaning (%s%%) · %s,%s倾向（%s%%） · %s
hud.chamber_fallback,Chamber,间室
habit.hand_right_leaner,long corridor hand,长廊手笔
habit.hand_looper,looping ink,回环墨迹
habit.hand_zigzagger,zigzag hand,折线手笔
habit.hand_balanced,even hand,匀衡手笔
won.stars_glyph,%s (%s/3),%s (%s/3)
won.stamp_birth,Birth stamp · %s · portrait %s%%,诞生印记 · %s · 肖像 %s%%
won.stamp_boss,Ledger stamp · %s · portrait %s%%,账本印记 · %s · 肖像 %s%%
won.stamp_grade_scribble,scribble,潦草
won.stamp_grade_readable,readable,可读
won.stamp_grade_signed,signed,署名
settings.rebind_prompt,Press key… (Esc cancel),按下按键…（Esc 取消）
settings.bindings_saved,Bindings saved.,绑定已保存。
settings.a11y_reset,Accessibility reset to defaults.,无障碍设置已恢复默认。
menu.museum,Museum of Selves,自我博物馆
menu.museum_meta,%s selves archived,已归档 %s 个自我
won.museum_archive,Archived · %s · %s · bias %s%% · museum %s,已归档 · %s · %s · 偏向 %s%% · 馆藏 %s
museum.title,Museum of Selves,自我博物馆
museum.blurb,Each clear leaves a fossil. Browse who you were — handwriting on paper.,每次通关留下化石。浏览曾经的你——纸上的笔迹。
museum.empty,No selves archived yet. Clear a chamber.,尚无归档自我。先通过一间室。
museum.back,Back,返回
museum.replay,Replay handwriting,重播笔迹
museum.detail,"%s
%s · bias %s%% · %s moves · %s","%s
%s · 偏向 %s%% · %s 步 · %s"
museum.vignette_empty,No chalk path on this fossil.,此化石无粉笔路径。
end.folio_mark,FIELD LEDGER · COLOPHON,现场账本 · 版权栏
won.folio_mark,FIELD LEDGER · CLEAR STAMP,现场账本 · 清关印记
won.habit_answer,"Habit answer · %s
%s","习惯回应 · %s
%s"
won.habit_quiet,Habit · still reading the page,习惯 · 仍在读页
habit.read.right_leaner,You kept one heading.,你总朝一个方向走。
habit.read.looper,You circled the same hinge.,你在同一枢纽打转。
habit.read.zigzagger,You never committed a line.,你从未认一条线。
habit.read.balanced,Mixed ink.,混杂墨迹。
habit.answer.counter,The lattice answered with %s.,晶格用%s回应了你。
habit.op.place_deflector,a soft deflector,一枚轻柔偏转
habit.op.fossilize_hot_cell,a fossil on your hinge,你枢纽上的化石
habit.op.thicken_walked,thicker walked walls,更厚的足迹墙
habit.op.grow_wall_far_from_path,a far wall seal,远端封墙
habit.op.mirror_walked_v,a vertical habit mirror,一枚垂直习惯镜
habit.op.mirror_walked_h,a horizontal habit mirror,一枚水平习惯镜
habit.op.widen_hot_corridor,a widened corridor,拓宽走廊
habit.op.carve_shortcut,a carved shortcut,凿出的捷径
end.museum,Museum of Selves,自我博物馆
